loan_amount,loan_term,interest_rate,grade,verification_status,purpose,dti,inquiries,derogatory,revolving_rate,total_credit_lines,employment_length,home_ownership,annual_income
11600,36,5.42,a,source verified,debt_consolidation,14.26,0,0,35.7,16,1.0,mortgage,11.350418300109132
19475,60,14.79,c,not verified,small_business,22.67,2,0,55.2,28,1.0,rent,11.289794413577894
11100,60,16.49,d,verified,home_improvement,12.6,2,0,60.0,46,10.0,mortgage,11.160598199024916
13475,60,19.29,e,verified,debt_consolidation,15.72,1,0,0.0,16,4.0,rent,11.706788495319067
26000,60,15.99,d,verified,other,21.18,3,0,82.4,18,10.0,own,11.264476926102367
4000,36,12.99,c,source verified,other,1.33,1,0,36.8,11,9.0,mortgage,11.225256725762893
9400,36,15.62,d,not verified,medical,13.38,1,0,70.0,19,4.0,mortgage,12.274670105518968
8000,36,10.99,b,verified,car,9.21,0,0,0.0,10,5.0,own,10.518700218288165
8400,36,10.99,b,source verified,debt_consolidation,24.85,0,0,4.6,40,1.0,mortgage,11.418581817922595
16800,60,11.99,b,not verified,debt_consolidation,10.73,1,0,11.8,39,3.0,mortgage,11.350418300109132
12000,60,19.29,e,not verified,debt_consolidation,12.39,1,0,85.5,12,3.0,mortgage,10.596659732783579
3000,36,14.79,c,not verified,home_improvement,18.99,1,0,99.2,25,5.0,mortgage,10.69559732562212
7500,36,10.59,b,not verified,credit_card,14.6,0,1,42.2,30,9.0,mortgage,10.905974329106854
16000,36,13.99,c,not verified,credit_card,22.06,1,0,66.2,4,6.0,rent,10.819798284210286
16800,36,17.99,e,source verified,debt_consolidation,19.98,3,0,78.4,23,3.0,mortgage,11.002116507732017
12500,36,8.49,a,source verified,major_purchase,2.83,2,0,7.8,14,8.0,own,10.757924157061597
7450,36,15.62,d,source verified,credit_card,19.53,0,0,55.6,20,6.0,rent,10.915106645867503
35000,60,10.99,b,source verified,moving,12.5,0,0,59.3,30,1.0,mortgage,11.002116507732017
12000,36,5.99,a,source verified,home_improvement,11.63,0,0,0.4,17,5.0,mortgage,11.289794413577894
6000,36,12.99,c,verified,other,7.29,1,0,81.1,7,10.0,rent,10.545367754151743
12000,60,10.59,b,source verified,debt_consolidation,8.44,2,0,12.0,17,10.0,own,11.51293546492023
7800,36,8.49,a,not verified,debt_consolidation,15.84,5,0,29.1,18,1.0,rent,10.596659732783579
20000,60,18.39,e,verified,debt_consolidation,15.61,2,0,97.8,21,10.0,mortgage,11.338583982516495
3500,36,10.99,b,not verified,moving,18.02,0,0,8.7,12,5.0,rent,10.477321777709106
14000,36,7.49,a,not verified,debt_consolidation,14.95,0,0,46.0,28,7.0,own,10.404293143019792
10000,60,23.22,g,verified,debt_consolidation,18.14,3,1,99.0,11,1.0,rent,10.412741942560633
8000,36,5.42,a,verified,home_improvement,14.73,0,0,23.1,20,10.0,rent,11.034905792929415
35000,60,18.39,e,verified,other,11.04,2,0,15.6,24,3.0,mortgage,11.350418300109132
23000,60,13.49,c,verified,debt_consolidation,6.66,0,0,44.1,9,9.0,mortgage,10.874058114656616
4000,36,13.49,c,verified,other,4.84,0,1,71.2,7,4.0,rent,10.308985993422082
14200,36,6.99,a,source verified,debt_consolidation,12.84,0,0,29.9,31,10.0,mortgage,10.888387508980832
14400,60,11.49,b,not verified,debt_consolidation,24.81,1,0,28.2,39,3.0,own,10.859018228147887
16000,36,8.49,a,source verified,debt_consolidation,21.74,3,0,64.4,46,3.0,mortgage,11.561725152903833
2400,36,9.99,b,source verified,debt_consolidation,1.54,0,0,93.6,12,1.0,rent,11.51293546492023
19200,36,7.49,a,not verified,credit_card,10.82,0,0,18.7,28,10.0,mortgage,11.082157933374816
8000,36,10.99,b,verified,debt_consolidation,10.15,0,0,5.6,19,4.0,rent,11.156264806643742
4500,36,18.39,e,source verified,debt_consolidation,12.6,3,0,99.7,17,10.0,rent,11.032129082933585
3600,36,15.99,d,not verified,other,19.52,0,0,86.0,15,5.0,mortgage,11.091224261921477
13000,60,17.49,d,not verified,car,4.82,1,0,41.2,20,1.0,rent,10.501252050663496
3500,36,5.99,a,source verified,small_business,23.12,0,1,5.6,13,1.0,rent,10.308985993422082
7000,36,8.49,a,verified,wedding,26.75,1,0,30.0,29,4.0,mortgage,11.225256725762893
15000,60,11.99,b,verified,other,9.08,1,0,43.1,17,4.0,mortgage,11.002116507732017
3000,36,15.23,c,source verified,home_improvement,19.4,1,0,42.3,30,8.0,mortgage,10.87806606028079
6000,36,14.79,c,source verified,debt_consolidation,21.12,2,0,73.7,14,5.0,rent,10.819798284210286
20500,60,16.89,d,source verified,debt_consolidation,19.11,0,0,77.63,8,1.0,rent,10.645448706505872
7000,36,7.49,a,not verified,car,10.64,5,0,8.6,14,1.0,rent,10.714439990727769
32000,60,20.25,f,verified,debt_consolidation,14.24,2,1,48.4,28,7.0,rent,11.51293546492023
3200,36,16.49,d,source verified,other,9.07,0,0,76.8,6,8.0,rent,10.422311107413181
3000,36,13.99,c,source verified,credit_card,10.6,2,0,76.3,9,1.0,rent,9.798182590890704
2000,36,17.49,d,source verified,debt_consolidation,9.58,0,0,84.8,4,1.0,rent,9.575052927597383
5000,36,10.99,b,not verified,debt_consolidation,4.8,2,1,41.9,17,10.0,mortgage,10.859018228147887
1500,36,12.99,c,source verified,other,4.71,3,0,65.0,5,2.0,rent,10.165890277802454
15000,60,20.25,f,verified,debt_consolidation,19.27,2,0,74.7,30,10.0,rent,11.082157933374816
7000,36,7.49,a,source verified,credit_card,5.12,0,1,51.1,13,3.0,mortgage,10.87806606028079
6000,36,8.49,a,source verified,other,27.91,1,0,38.3,23,10.0,rent,10.851296331126829
4500,36,9.99,b,source verified,medical,15.63,2,0,25.0,17,7.0,rent,10.491301994830229
7000,36,16.49,d,not verified,credit_card,9.12,0,0,99.7,7,10.0,own,10.308985993422082
6000,36,8.49,a,verified,debt_consolidation,16.22,4,0,17.6,26,7.0,mortgage,11.87757552297847
21225,60,12.99,c,verified,credit_card,24.83,1,0,37.8,35,10.0,mortgage,11.067329998106642
5000,36,5.42,a,not verified,major_purchase,11.35,0,0,0.1,17,7.0,own,11.0186455364637
10600,36,12.99,c,source verified,debt_consolidation,19.58,0,0,86.0,14,1.0,rent,10.348205424565993
5000,36,10.99,b,source verified,other,5.57,0,0,33.5,46,8.0,rent,11.918397239722838
35000,60,22.11,g,verified,debt_consolidation,16.89,0,0,95.4,29,10.0,mortgage,11.571203807011969
18000,60,19.69,e,verified,debt_consolidation,16.89,3,0,76.8,39,10.0,mortgage,11.715106836967587
25000,36,10.59,b,verified,debt_consolidation,26.98,0,0,22.3,23,8.0,mortgage,11.225256725762893
10800,36,6.99,a,not verified,home_improvement,13.47,0,0,71.4,26,10.0,mortgage,11.608244735642321
6000,36,13.99,c,not verified,debt_consolidation,6.85,1,0,92.0,7,3.0,rent,10.915106645867503
17700,36,10.99,b,source verified,credit_card,18.39,0,0,39.9,29,5.0,rent,11.567423119906431
25000,60,19.29,e,verified,debt_consolidation,9.27,0,0,77.3,19,2.0,rent,11.608244735642321
3000,36,5.99,a,not verified,car,14.62,1,0,3.7,39,7.0,mortgage,10.915106645867503
7000,60,17.99,e,not verified,debt_consolidation,17.17,1,0,86.6,15,7.0,mortgage,11.289844411702974
12000,60,13.49,c,not verified,debt_consolidation,13.96,1,0,15.5,23,4.0,mortgage,11.695255355062795
11200,60,19.29,e,source verified,small_business,3.34,0,0,89.5,7,1.0,rent,11.289794413577894
5000,36,9.99,b,not verified,small_business,7.92,0,0,31.1,19,6.0,mortgage,11.002116507732017
10000,36,7.49,a,verified,debt_consolidation,14.22,0,0,58.0,9,3.0,rent,10.555838779903407
3075,36,10.59,b,not verified,car,7.96,0,0,90.9,6,1.0,rent,10.308985993422082
6000,36,6.99,a,not verified,home_improvement,8.05,1,0,43.6,19,5.0,mortgage,10.714439990727769
21000,36,11.99,b,source verified,major_purchase,10.99,2,0,40.0,20,8.0,mortgage,12.07254696717504
4200,36,15.99,d,not verified,other,23.88,2,0,18.6,35,3.0,rent,10.308985993422082
6000,36,13.99,c,source verified,debt_consolidation,8.19,2,0,14.1,21,4.0,rent,10.596659732783579
3000,36,9.99,b,not verified,debt_consolidation,4.68,1,0,68.4,6,7.0,rent,11.034905792929415
12500,36,5.99,a,verified,debt_consolidation,19.02,0,0,12.9,29,5.0,mortgage,11.225256725762893
3000,36,10.59,b,verified,major_purchase,14.49,1,0,12.0,11,4.0,rent,10.239995502805316
5000,36,16.49,d,verified,small_business,3.18,0,0,50.7,12,5.0,rent,11.002116507732017
5600,36,9.99,b,source verified,debt_consolidation,4.5,0,0,59.3,8,1.0,rent,10.49893921062262
4900,36,6.99,a,not verified,home_improvement,15.25,5,0,12.8,13,7.0,mortgage,11.407576060361786
4550,36,15.23,c,source verified,debt_consolidation,7.0,1,1,37.6,9,2.0,rent,10.645448706505872
6000,60,11.99,b,not verified,small_business,16.27,0,0,56.8,10,10.0,rent,9.798182590890704
2000,36,7.49,a,not verified,vacation,9.03,2,0,26.6,12,3.0,rent,10.616461869895815
8000,36,10.99,b,not verified,debt_consolidation,13.48,0,0,80.2,6,2.0,rent,10.434145214930487
15000,60,13.99,c,verified,debt_consolidation,18.9,3,0,35.7,33,2.0,mortgage,11.002116507732017
4400,36,11.49,b,verified,other,12.81,0,0,37.5,17,7.0,mortgage,11.045987212652303
12425,60,15.23,c,source verified,debt_consolidation,18.3,1,0,72.2,30,4.0,rent,10.691967639914864
7900,36,9.99,b,verified,debt_consolidation,19.67,0,0,48.8,4,7.0,rent,10.239995502805316
11200,36,10.59,b,source verified,debt_consolidation,18.88,0,0,53.8,19,2.0,rent,10.714439990727769
6000,60,13.49,c,not verified,other,14.38,0,0,86.5,11,3.0,mortgage,11.037483072428214
2500,36,11.99,b,verified,debt_consolidation,9.98,3,0,80.1,23,10.0,rent,11.225256725762893
30000,60,17.49,d,source verified,home_improvement,5.93,2,0,43.9,28,5.0,mortgage,11.385103457032141
21500,60,22.11,g,verified,credit_card,15.78,1,0,58.6,22,1.0,mortgage,11.127277689932466
5600,36,9.99,b,source verified,credit_card,17.71,0,0,63.9,17,2.0,own,10.645448706505872
20000,60,15.23,c,verified,debt_consolidation,13.9,2,0,64.8,25,10.0,mortgage,10.915106645867503
15000,36,5.99,a,source verified,credit_card,8.47,0,0,28.8,24,2.0,mortgage,11.760948928406329
6900,36,9.99,b,verified,car,15.42,0,0,31.2,8,3.0,rent,10.203629181337648
3975,60,17.49,d,source verified,debt_consolidation,23.95,2,0,71.7,5,6.0,rent,10.007892611890918
21725,60,13.49,c,verified,credit_card,23.23,0,0,84.0,26,6.0,mortgage,10.851296331126829
3600,36,11.49,b,not verified,debt_consolidation,12.31,3,0,70.7,20,2.0,rent,11.082157933374816
9600,60,10.99,b,verified,car,22.93,1,0,20.4,30,7.0,mortgage,11.429554725537322
2500,36,11.49,b,not verified,debt_consolidation,22.5,0,1,78.1,12,2.0,mortgage,11.289794413577894
2000,36,5.42,a,not verified,other,12.37,1,0,15.9,21,10.0,mortgage,10.657282884047461
16000,36,11.49,b,verified,debt_consolidation,6.09,1,0,84.3,50,1.0,rent,12.07254696717504
10000,36,11.49,b,source verified,debt_consolidation,8.49,0,0,96.0,11,5.0,rent,11.289794413577894
6000,36,5.99,a,verified,home_improvement,5.29,1,0,0.0,45,9.0,mortgage,11.80560254159177
8400,36,15.99,d,verified,debt_consolidation,8.12,0,0,63.8,27,3.0,mortgage,12.388398368982115
16000,36,7.49,a,source verified,debt_consolidation,25.22,0,0,79.0,39,6.0,own,11.184435286790631
4475,36,16.89,d,verified,major_purchase,9.0,1,0,74.5,3,3.0,rent,9.488047863280759
4150,36,18.39,e,source verified,debt_consolidation,4.06,0,1,98.9,15,10.0,mortgage,11.034905792929415
13475,60,16.49,d,verified,debt_consolidation,23.23,3,0,47.0,17,2.0,mortgage,10.348205424565993
12200,60,11.99,b,source verified,credit_card,16.2,0,0,66.7,9,1.0,rent,10.896757843893464
12000,36,11.99,b,source verified,major_purchase,14.99,1,0,35.8,26,9.0,mortgage,11.461642696843066
20000,60,22.11,g,source verified,debt_consolidation,20.22,2,0,67.0,20,3.0,mortgage,11.112462823634855
21000,60,11.49,b,verified,major_purchase,6.0,0,0,2.6,45,10.0,mortgage,11.350418300109132
20000,36,10.99,b,verified,debt_consolidation,17.26,1,0,23.8,15,10.0,rent,11.002116507732017
7500,36,9.99,b,not verified,medical,12.46,0,0,60.4,12,6.0,rent,10.753659849198824
14525,36,10.99,b,source verified,debt_consolidation,26.46,0,0,76.5,11,1.0,rent,11.002116507732017
3000,36,19.29,e,source verified,moving,2.48,1,0,95.3,3,4.0,rent,10.308985993422082
2500,36,15.62,d,not verified,medical,14.69,2,0,99.4,10,8.0,rent,10.633472802314019
5050,36,16.89,d,source verified,vacation,5.88,3,0,80.0,5,8.0,rent,10.596659732783579
8000,36,10.99,b,not verified,home_improvement,23.98,0,0,62.2,16,7.0,mortgage,11.002116507732017
9000,36,6.99,a,not verified,home_improvement,15.5,1,0,44.4,25,3.0,mortgage,10.645448706505872
24250,60,12.99,c,verified,credit_card,12.97,0,0,41.7,32,10.0,mortgage,11.043641576648842
10000,36,20.99,f,not verified,credit_card,22.36,0,0,67.5,51,2.0,mortgage,11.695255355062795
15000,36,15.99,d,not verified,debt_consolidation,7.68,0,0,64.8,14,2.0,rent,10.915033917272405
5000,36,14.79,c,not verified,debt_consolidation,14.7,1,0,63.1,33,3.0,mortgage,11.695255355062795
2400,36,5.42,a,not verified,major_purchase,10.05,0,0,29.4,16,10.0,rent,10.596659732783579
13000,36,10.99,b,not verified,home_improvement,9.78,4,0,2.3,28,2.0,mortgage,10.778977123006351
35000,36,10.99,b,verified,debt_consolidation,28.12,1,0,27.4,53,10.0,own,11.552155793461898
15000,60,12.99,c,verified,credit_card,2.88,1,0,84.9,16,2.0,rent,11.790564777297387
2050,36,7.49,a,verified,home_improvement,23.55,1,0,41.5,21,10.0,own,10.819798284210286
2000,36,5.42,a,not verified,car,5.19,0,0,3.7,14,4.0,rent,11.134603622683905
12000,60,16.89,d,verified,debt_consolidation,20.3,1,1,84.0,25,10.0,rent,11.19822841866684
6350,36,7.49,a,not verified,major_purchase,12.3,0,0,2.4,8,4.0,mortgage,10.673618922112436
14400,36,8.49,a,verified,debt_consolidation,22.07,0,0,72.6,23,5.0,rent,10.778977123006351
1000,36,11.49,b,not verified,other,17.61,1,0,63.0,6,10.0,rent,10.073778699946109
8000,36,14.79,c,not verified,small_business,14.65,1,0,74.5,22,2.0,rent,11.097425172408931
11000,36,20.99,f,source verified,debt_consolidation,18.74,2,0,49.1,55,6.0,mortgage,11.050905878263567
14800,36,9.99,b,source verified,wedding,18.79,1,0,27.6,33,2.0,rent,11.127277689932466
4725,36,11.99,b,source verified,debt_consolidation,22.93,1,0,37.8,19,4.0,mortgage,10.714439990727769
5000,36,5.42,a,not verified,credit_card,3.39,0,0,1.4,13,6.0,rent,11.289794413577894
6000,36,5.99,a,not verified,major_purchase,17.62,0,0,6.6,15,6.0,mortgage,10.126511096649761
12400,60,19.69,e,source verified,debt_consolidation,10.07,1,0,78.0,14,1.0,rent,10.789339695269716
30000,60,17.49,d,verified,debt_consolidation,8.65,0,0,20.3,30,6.0,mortgage,11.719947764402807
15000,36,16.89,d,not verified,debt_consolidation,14.74,0,0,66.2,16,3.0,rent,10.391116194697917
4800,36,8.49,a,not verified,small_business,20.7,0,0,79.2,18,2.0,mortgage,10.491301994830229
7575,36,6.99,a,source verified,debt_consolidation,17.96,1,0,31.3,19,7.0,rent,10.896757843893464
30000,60,19.69,e,verified,debt_consolidation,17.13,0,0,53.9,32,10.0,mortgage,11.775297421715827
25000,60,19.69,e,source verified,small_business,13.22,0,0,83.3,13,6.0,rent,10.819798284210286
8500,36,10.99,b,not verified,debt_consolidation,24.6,1,0,47.2,37,10.0,mortgage,10.896757843893464
9000,36,5.42,a,source verified,small_business,18.72,0,0,47.5,25,1.0,mortgage,10.308985993422082
5000,36,12.99,c,source verified,moving,5.14,0,0,76.3,9,3.0,rent,11.17606715383184
11000,36,15.99,d,not verified,debt_consolidation,11.94,0,0,98.7,11,1.0,rent,11.487617913343598
5000,36,6.99,a,not verified,credit_card,10.59,1,0,15.1,38,4.0,mortgage,11.48247656671073
3200,36,13.49,c,source verified,debt_consolidation,14.35,0,0,0.0,10,1.0,rent,10.348205424565993
1000,36,13.49,c,source verified,other,18.82,0,0,44.2,16,9.0,rent,10.819798284210286
20000,60,20.62,f,verified,small_business,17.96,0,0,49.1,33,10.0,rent,11.002116507732017
35000,60,20.62,f,verified,debt_consolidation,9.7,2,0,75.8,36,8.0,mortgage,11.918397239722838
16750,60,11.99,b,verified,debt_consolidation,8.07,0,0,63.5,20,3.0,mortgage,10.778977123006351
35000,60,19.69,e,verified,debt_consolidation,19.62,0,0,79.0,25,8.0,rent,11.225256725762893
4200,36,10.59,b,verified,debt_consolidation,21.4,1,0,81.5,16,6.0,rent,10.778977123006351
25000,60,15.23,c,source verified,debt_consolidation,6.98,1,0,61.4,19,10.0,mortgage,12.013706813470414
30000,60,12.99,c,verified,other,10.04,1,0,3.8,34,5.0,mortgage,11.289794413577894
14000,60,17.49,d,not verified,debt_consolidation,5.93,1,0,7.2,5,9.0,own,10.463131911491967
3000,36,11.49,b,source verified,wedding,13.74,2,0,24.9,24,2.0,rent,11.002116507732017
10000,36,16.89,d,not verified,debt_consolidation,18.97,2,0,53.3,12,1.0,rent,10.793865427624695
4800,36,10.99,b,not verified,home_improvement,16.41,0,0,39.1,12,10.0,mortgage,10.72187875513222
8000,36,10.59,b,not verified,debt_consolidation,12.0,0,0,38.9,40,10.0,mortgage,10.691967639914864
4750,36,15.23,c,not verified,debt_consolidation,20.56,3,0,76.9,9,1.0,own,9.980494888896912
26500,60,20.99,f,verified,debt_consolidation,20.98,1,0,97.4,32,6.0,rent,10.845699410361682
6075,36,13.49,c,source verified,debt_consolidation,8.85,0,0,96.7,14,2.0,mortgage,10.463131911491967
8800,36,7.49,a,source verified,credit_card,8.06,0,0,35.3,10,3.0,mortgage,11.06665398721974
30000,60,19.29,e,verified,debt_consolidation,22.06,0,0,51.4,33,10.0,mortgage,11.079076314320059
17000,60,20.25,f,verified,debt_consolidation,10.27,0,0,75.5,19,10.0,mortgage,11.519414366438353
3600,36,5.99,a,not verified,credit_card,4.74,0,0,17.9,12,10.0,mortgage,11.002116507732017
1000,36,15.99,d,not verified,other,12.62,0,0,50.5,3,1.0,mortgage,10.203629181337648
14575,60,13.99,c,not verified,debt_consolidation,24.96,1,0,29.2,40,10.0,rent,10.714439990727769
5000,36,5.99,a,not verified,moving,9.87,0,0,15.1,20,6.0,rent,10.714439990727769
16000,60,11.99,b,verified,debt_consolidation,17.27,0,0,72.8,25,5.0,rent,10.933124826700707
12000,36,7.49,a,source verified,wedding,5.6,0,0,7.5,9,4.0,rent,11.635151947212842
8000,36,5.42,a,verified,major_purchase,15.44,0,0,5.8,32,10.0,mortgage,9.980494888896912
4000,36,18.39,e,not verified,debt_consolidation,20.3,0,0,79.7,46,7.0,own,11.133142723386813
18000,36,11.49,b,not verified,debt_consolidation,18.69,1,0,45.3,19,9.0,rent,11.289794413577894
14125,60,22.11,g,source verified,moving,7.08,0,0,86.1,7,1.0,rent,10.268165387743457
10000,36,5.99,a,not verified,major_purchase,2.2,1,0,11.4,21,1.0,mortgage,10.955025703818272
4500,36,13.49,c,not verified,credit_card,18.48,0,0,49.8,5,9.0,rent,9.90353755128617
15000,36,10.59,b,not verified,credit_card,10.23,0,0,67.6,11,10.0,rent,10.776504745642917
15000,36,8.49,a,not verified,credit_card,11.36,0,0,23.1,31,2.0,rent,10.968215530759236
18200,60,11.49,b,source verified,small_business,14.49,0,0,41.8,20,6.0,mortgage,10.645448706505872
18000,36,8.49,a,not verified,debt_consolidation,12.62,0,0,24.8,32,10.0,mortgage,11.326607934898927
4000,36,15.62,d,verified,major_purchase,14.82,0,0,37.9,40,7.0,mortgage,11.184435286790631
7000,60,13.99,c,not verified,debt_consolidation,21.23,1,0,54.4,33,10.0,mortgage,10.992066340225865
12000,36,7.49,a,not verified,debt_consolidation,21.72,2,0,37.4,14,10.0,rent,10.791596893102597
12400,60,13.49,c,source verified,debt_consolidation,15.69,1,0,54.7,16,6.0,own,10.596659732783579
15000,36,15.23,c,source verified,small_business,17.38,2,0,81.7,12,7.0,mortgage,10.555838779903407
9600,60,10.99,b,source verified,major_purchase,10.69,0,0,46.6,11,1.0,rent,11.225256725762893
15000,36,8.49,a,source verified,credit_card,8.01,2,0,52.8,23,1.0,mortgage,10.518700218288165
15000,60,18.79,e,source verified,debt_consolidation,15.73,3,0,37.6,31,1.0,mortgage,10.714439990727769
20000,60,13.49,c,verified,debt_consolidation,26.31,0,0,73.2,40,8.0,rent,11.561725152903833
6000,36,11.99,b,source verified,debt_consolidation,13.7,1,0,58.9,10,10.0,rent,11.002116507732017
12000,60,18.39,e,source verified,home_improvement,5.24,2,1,37.5,7,10.0,mortgage,10.482933978579906
20400,60,15.99,d,source verified,home_improvement,5.35,0,0,30.7,11,3.0,mortgage,11.987176312003765
5700,36,9.99,b,not verified,small_business,10.01,1,0,56.0,24,1.0,rent,10.87806606028079
2400,36,10.99,b,not verified,debt_consolidation,7.34,0,0,67.6,7,5.0,rent,10.668978650219241
15000,36,9.99,b,verified,debt_consolidation,0.0,1,0,0.0,16,4.0,mortgage,12.201065128819632
2650,36,7.49,a,not verified,wedding,6.13,0,1,49.8,14,10.0,mortgage,10.757924157061597
3500,36,6.99,a,not verified,home_improvement,22.2,0,0,47.6,43,8.0,mortgage,11.184435286790631
6000,36,10.59,b,not verified,debt_consolidation,21.97,1,0,81.7,25,2.0,rent,10.463246187411299
15000,36,8.49,a,source verified,debt_consolidation,24.39,0,0,48.5,27,1.0,rent,10.668978650219241
2000,36,14.79,c,not verified,other,23.16,2,0,66.5,30,2.0,rent,10.819798284210286
2100,36,11.99,b,source verified,car,11.38,1,0,52.3,33,6.0,own,11.638685488579059
5000,36,12.99,c,source verified,debt_consolidation,11.42,0,0,96.5,31,4.0,mortgage,11.571203807011969
5000,36,8.49,a,not verified,other,1.05,2,0,22.5,14,2.0,mortgage,10.778977123006351
6400,36,7.49,a,not verified,other,5.07,0,1,16.9,16,10.0,mortgage,11.542493975902508
14400,60,16.49,d,source verified,debt_consolidation,9.29,0,0,49.1,14,3.0,mortgage,11.097364565430018
18000,36,11.49,b,verified,car,17.01,0,0,69.7,15,10.0,mortgage,11.154835234271214
3000,36,7.49,a,not verified,credit_card,9.66,0,0,19.5,9,1.0,rent,9.771155440487087
2400,36,11.99,b,not verified,other,14.73,1,0,58.2,13,10.0,rent,11.156264806643742
5600,36,11.99,b,not verified,credit_card,3.5,1,0,39.8,24,10.0,rent,11.150534214035387
15250,60,16.49,d,not verified,debt_consolidation,20.57,0,0,72.9,19,1.0,rent,10.463131911491967
1600,36,15.62,d,not verified,other,12.69,0,0,98.9,17,7.0,rent,10.950824090522445
10000,36,13.49,c,not verified,debt_consolidation,24.43,3,0,48.2,21,2.0,rent,10.778977123006351
18000,36,6.99,a,verified,moving,20.77,0,0,3.1,37,1.0,mortgage,11.942113610091182
5000,36,15.62,d,verified,home_improvement,11.07,3,0,13.6,36,3.0,mortgage,12.013706813470414
8000,36,9.99,b,verified,debt_consolidation,7.72,1,0,71.1,32,10.0,mortgage,12.323860125621126
8000,36,8.49,a,not verified,other,4.5,0,0,56.7,24,1.0,mortgage,11.652696102959753
6000,36,5.42,a,not verified,credit_card,5.13,1,0,44.9,39,10.0,mortgage,11.472113887062386
9000,36,5.99,a,not verified,credit_card,24.79,0,0,48.4,14,2.0,own,11.025588477273143
6000,36,5.99,a,not verified,debt_consolidation,8.62,0,0,22.0,14,10.0,mortgage,10.204073510592933
20000,36,7.49,a,source verified,credit_card,5.61,0,0,41.2,23,10.0,rent,11.982935344196433
15000,60,15.99,d,verified,debt_consolidation,1.06,1,0,2.2,22,4.0,mortgage,10.819798284210286
3000,36,6.99,a,not verified,credit_card,6.54,0,0,63.6,11,1.0,rent,11.082157933374816
6000,36,11.99,b,not verified,wedding,9.18,2,0,49.9,9,1.0,rent,10.596659732783579
5125,36,8.49,a,verified,debt_consolidation,23.64,0,0,70.4,12,10.0,mortgage,11.05881093278828
15000,36,12.99,c,verified,debt_consolidation,22.21,0,0,48.2,34,10.0,mortgage,11.263540602450792
16000,60,16.89,d,not verified,debt_consolidation,22.23,1,0,56.4,30,1.0,rent,10.915106645867503
4600,36,13.99,c,not verified,credit_card,4.03,1,0,68.3,11,1.0,rent,10.968215530759236
10000,36,10.99,b,not verified,debt_consolidation,10.6,0,0,23.7,46,6.0,mortgage,11.350418300109132
2250,36,15.62,d,verified,debt_consolidation,20.61,1,0,87.0,18,3.0,mortgage,10.225607282932941
35000,60,15.23,c,source verified,debt_consolidation,6.65,2,0,32.3,38,10.0,mortgage,11.918397239722838
6000,36,12.99,c,not verified,medical,2.75,3,0,3.4,20,1.0,rent,10.778977123006351
20000,60,11.99,b,verified,debt_consolidation,13.01,0,0,46.3,21,10.0,mortgage,10.839600519357369
9525,60,19.69,e,verified,debt_consolidation,21.97,2,0,96.0,18,7.0,rent,10.932981961904135
4450,36,11.49,b,source verified,medical,14.96,1,0,7.1,5,5.0,rent,10.422311107413181
22000,60,13.99,c,verified,home_improvement,20.83,1,0,10.1,20,6.0,mortgage,11.0186455364637
35000,60,16.49,d,verified,debt_consolidation,12.3,2,0,84.1,22,1.0,rent,11.141876276228
2500,36,12.99,c,not verified,other,7.41,0,0,44.0,18,2.0,rent,11.127336510866854
3500,36,10.59,b,source verified,debt_consolidation,3.81,0,0,24.2,7,3.0,rent,10.714439990727769
14400,36,10.99,b,source verified,credit_card,20.76,2,0,49.2,23,4.0,rent,11.472113887062386
7000,36,10.59,b,source verified,major_purchase,8.17,0,1,29.8,24,6.0,mortgage,11.19822841866684
1800,36,10.59,b,not verified,car,25.68,2,0,42.7,28,4.0,rent,10.463131911491967
4000,60,18.39,e,source verified,other,5.38,2,0,46.3,11,1.0,rent,10.126511096649761
35000,60,12.99,c,verified,home_improvement,21.06,3,0,27.7,27,5.0,mortgage,11.082157933374816
3850,36,8.49,a,not verified,credit_card,16.85,1,1,10.2,13,5.0,rent,10.789339695269716
3000,36,6.99,a,not verified,wedding,5.83,0,0,74.5,20,4.0,mortgage,11.289794413577894
3200,36,9.99,b,not verified,other,0.0,1,0,0.0,9,10.0,mortgage,11.156207662970246
21000,60,14.79,c,verified,small_business,14.58,2,0,48.2,24,10.0,mortgage,11.51293546492023
8275,36,16.49,d,not verified,debt_consolidation,17.67,3,0,72.9,35,5.0,mortgage,11.951186847493476
12000,36,16.49,d,source verified,credit_card,3.54,0,0,79.1,22,6.0,rent,11.775297421715827
6500,36,15.62,d,source verified,credit_card,8.7,2,0,72.8,8,4.0,rent,11.338583982516495
3600,36,11.99,b,not verified,debt_consolidation,13.12,0,0,92.3,34,4.0,rent,10.584081267024454
14000,60,18.79,e,not verified,debt_consolidation,15.72,2,0,88.1,27,10.0,mortgage,11.277215789596893
12000,36,8.49,a,source verified,debt_consolidation,22.71,0,0,57.7,30,3.0,rent,10.645448706505872
20000,60,21.74,f,verified,home_improvement,18.78,1,0,84.1,25,10.0,mortgage,11.3243403328803
8000,36,12.99,c,verified,home_improvement,7.68,1,1,36.1,19,4.0,mortgage,11.407576060361786
8000,60,13.49,c,source verified,major_purchase,0.47,1,0,23.6,3,3.0,rent,11.184435286790631
12375,36,11.99,b,verified,credit_card,24.13,0,0,11.9,15,1.0,mortgage,10.491301994830229
4200,60,15.99,d,verified,other,16.08,1,0,58.5,13,1.0,rent,9.65509029374725
27200,60,20.62,f,verified,major_purchase,18.32,2,0,56.3,45,4.0,mortgage,12.180759965737863
